Time,0,1,2,3,4,5
2012-07-18 12:54:45,1,12,0,18,0,18
2012-07-18 12:54:46,1,12,19,18,0,37
2012-07-18 12:54:47,9530,15,4,18,19,4
2012-07-18 15:33:37,68006,10,1,20,4,22
2012-07-20 10:27:03,711,10,1,20,1,17
2012-07-20 10:38:54,73,10,17,20,1,17
2012-07-20 10:40:07,181,10,17,20,17,17
2012-07-20 10:43:08,399,10,19,20,17,19
2012-07-20 10:49:47,67,10,19,20,19,33
2012-07-20 10:50:54,48,10,33,20,19,32
2012-07-20 10:51:42,19,10,33,20,33,32
2012-07-20 10:52:01,23,10,18,20,33,24
2012-07-20 10:52:24,13,10,33,20,18,32
2012-07-20 10:52:37,14,10,33,20,33,2
2012-07-20 10:52:51,10,10,19,20,33,8
2012-07-20 10:53:01,42,10,33,20,19,33
2012-07-20 10:53:43,18,10,33,20,33,19
2012-07-20 10:54:01,10,10,9,20,33,19
2012-07-20 10:54:11,84,10,19,20,9,32
2012-07-20 10:55:35,17,10,8,20,19,19
2012-07-20 10:55:52,26,10,8,20,8,15
2012-07-20 10:56:18,29,10,19,20,8,32
2012-07-20 10:56:47,105,10,15,20,19,32
2012-07-20 10:58:32,36,10,32,20,15,9
2012-07-20 10:59:08,21,10,32,20,32,32
2012-07-20 10:59:29,17,10,38,20,32,10
2012-07-20 10:59:46,27,11,38,20,38,38
2012-07-20 11:00:13,16,11,38,20,38,15
2012-07-20 11:00:29,7,11,10,20,38,8
2012-07-20 11:00:36,54,11,32,20,10,32
2012-07-20 11:01:30,48,11,32,20,32,19
2012-07-20 11:02:18,37,11,32,20,32,4
2012-07-20 11:02:55,63,11,32,20,32,8
2012-07-20 11:03:58,19,11,9,20,32,10
2012-07-20 11:04:17,11,11,19,20,9,19
2012-07-20 11:04:28,91,11,9,20,19,15
2012-07-20 11:05:59,34,11,32,20,9,32
2012-07-20 11:06:33,50,11,32,20,32,32
2012-07-20 11:07:23,57,11,9,20,32,19
2012-07-20 11:08:20,27,11,9,20,9,32
2012-07-20 11:08:47,22,11,9,20,9,23
2012-07-20 11:09:09,16,11,36,20,9,36
2012-07-20 11:09:25,28,11,35,20,36,36
2012-07-20 11:09:53,25,11,35,20,35,3
2012-07-20 11:10:18,10,11,19,20,35,36
2012-07-20 11:10:28,17,11,9,20,19,9
2012-07-20 11:10:45,31,11,0,20,9,9
2012-07-20 11:11:16,34,11,19,20,0,19
2012-07-20 11:11:50,77,11,32,20,19,32
2012-07-20 11:13:07,93,11,32,20,32,29
2012-07-20 11:14:40,22,11,29,20,32,29
2012-07-20 11:15:02,15,11,29,20,29,26
2012-07-20 11:15:17,9,11,39,20,29,39
2012-07-20 11:15:26,16,11,29,20,39,5
2012-07-20 11:15:42,11,11,29,20,29,29
2012-07-20 11:15:53,13,11,26,20,29,26
2012-07-20 11:16:06,20,11,29,20,26,24
2012-07-20 11:16:26,17,11,9,20,29,5
2012-07-20 11:16:43,9,11,26,20,9,26
2012-07-20 11:16:52,15,11,17,20,26,9
2012-07-20 11:17:07,30,11,17,20,17,33
2012-07-20 11:17:37,43,11,12,20,17,12
2012-07-20 11:18:20,20,11,13,20,12,13
2012-07-20 11:18:40,59,11,17,20,13,17
2012-07-20 11:19:39,18,11,31,20,17,15
2012-07-20 11:19:57,29,11,32,20,31,11
2012-07-20 11:20:26,11,11,32,20,32,9
2012-07-20 11:20:37,7,11,31,20,32,31
2012-07-20 11:20:44,7,11,5,20,31,26
2012-07-20 11:20:51,14,11,31,20,5,26
2012-07-20 11:21:05,21,11,11,20,31,26
2012-07-20 11:21:26,24,11,31,20,11,26
2012-07-20 11:21:50,22,11,32,20,31,32
2012-07-20 11:22:12,35,11,32,20,32,32
2012-07-20 11:22:47,23,11,32,20,32,9
2012-07-20 11:23:10,19,11,32,20,32,30
2012-07-20 11:23:29,10,11,32,20,32,10
2012-07-20 11:23:39,33,11,15,20,32,15
2012-07-20 11:24:12,17,11,14,20,15,14
2012-07-20 11:24:29,23,11,14,20,14,14
2012-07-20 11:24:52,26,11,37,20,14,33
2012-07-20 11:25:18,19,11,27,20,37,30
2012-07-20 11:25:37,14,11,27,20,27,32
2012-07-20 11:25:51,11,11,27,20,27,32
2012-07-20 11:26:02,11,11,30,20,27,30
2012-07-20 11:26:13,13,11,19,20,30,19
2012-07-20 11:26:26,42,11,32,20,19,2
2012-07-20 11:27:08,1,11,3,20,32,22
2012-07-20 11:27:09,1,11,30,20,3,30
2012-07-20 11:27:10,59,11,32,20,30,30
2012-07-20 11:28:09,33,11,32,20,32,30
2012-07-20 11:28:42,29,11,32,20,32,9
2012-07-20 11:29:11,31,11,32,20,32,32
2012-07-20 11:29:42,11,11,28,20,32,20
2012-07-20 11:29:53,28,11,32,20,28,32
2012-07-20 11:30:21,23,11,32,20,32,30
2012-07-20 11:30:44,21,11,32,20,32,38
2012-07-20 11:31:05,23,11,15,20,32,32
2012-07-20 11:31:28,13,11,7,20,15,17
2012-07-20 11:31:41,13,11,9,20,7,9
2012-07-20 11:31:54,17,11,15,20,9,32
2012-07-20 11:32:11,21,11,32,20,15,9
2012-07-20 11:32:32,30,11,32,20,32,30
2012-07-20 11:33:02,46,11,32,20,32,32
2012-07-20 11:33:48,22,11,30,20,32,30
2012-07-20 11:34:10,27,11,32,20,30,32
2012-07-20 11:34:37,29,11,28,20,32,28
2012-07-20 11:35:06,21,11,28,20,28,24
2012-07-20 11:35:27,22,11,30,20,28,24
2012-07-20 11:35:49,18,11,28,20,30,30
2012-07-20 11:36:07,9,11,5,20,28,5
2012-07-20 11:36:16,11,11,30,20,5,12
2012-07-20 11:36:27,12,11,24,20,30,5
2012-07-20 11:36:39,29,11,32,20,24,32
2012-07-20 11:37:08,19,11,30,20,32,9
2012-07-20 11:37:27,15,11,19,20,30,30
2012-07-20 11:37:42,12,11,9,20,19,19
2012-07-20 11:37:54,22,11,9,20,9,30
2012-07-20 11:38:16,59,11,32,20,9,37
2012-07-20 11:39:15,7,11,32,20,32,7
2012-07-20 11:39:22,14,11,7,20,32,7
2012-07-20 11:39:36,16,11,9,20,7,15
2012-07-20 11:39:52,18,11,7,20,9,17
2012-07-20 11:40:10,16,11,32,20,7,32
2012-07-20 11:40:26,16,11,32,20,32,19
2012-07-20 11:40:42,30,11,32,20,32,32
2012-07-20 11:41:12,21,11,32,20,32,28
2012-07-20 11:41:33,34,11,32,20,32,30
2012-07-20 11:42:07,25,11,30,20,32,32
2012-07-20 11:42:32,24,11,32,20,30,30
2012-07-20 11:42:56,67,11,32,20,32,30
2012-07-20 11:44:03,23,11,32,20,32,32
2012-07-20 11:44:26,18,11,30,20,32,27
2012-07-20 11:44:44,23,11,32,20,30,30
2012-07-20 11:45:07,39,11,32,20,32,28
2012-07-20 11:45:46,20,11,9,20,32,9
2012-07-20 11:46:06,26,11,19,20,9,19
2012-07-20 11:46:32,262,11,13,20,19,13
2012-07-20 11:50:54,280,11,13,20,13,13
2012-07-20 11:55:34,32,11,30,20,13,32
2012-07-20 11:56:06,73,11,28,20,30,5
2012-07-20 11:57:19,60,11,26,20,28,24
2012-07-20 11:58:19,17,11,5,20,26,8
2012-07-20 11:58:36,16,11,19,20,5,37
2012-07-20 11:58:52,103,12,37,20,19,37
2012-07-20 12:00:35,16,12,37,20,37,35
2012-07-20 12:00:51,58,12,35,20,37,35
2012-07-20 12:01:49,64,12,35,20,35,35
2012-07-20 12:02:53,50,12,35,20,35,35
2012-07-20 12:03:43,27,12,35,20,35,35
2012-07-20 12:04:10,28,12,35,20,35,36
2012-07-20 12:04:38,34,12,35,20,35,35
2012-07-20 12:05:12,25,12,35,20,35,35
2012-07-20 12:05:37,17,12,19,20,35,33
2012-07-20 12:05:54,25,12,32,20,19,27
2012-07-20 12:06:19,28,12,32,20,32,9
2012-07-20 12:06:47,89,12,19,20,32,23
2012-07-20 12:08:16,353,12,19,20,19,33
2012-07-20 12:14:09,23,12,13,20,19,13
2012-07-20 12:14:32,50,12,13,20,13,13
2012-07-20 12:15:22,224,12,13,20,13,13
2012-07-20 12:19:06,277,12,13,20,13,13
2012-07-20 12:23:43,259,12,13,20,13,13
2012-07-20 12:28:02,268,12,13,20,13,12
2012-07-20 12:32:30,396,12,13,20,13,25
2012-07-20 12:39:06,644,12,16,20,13,20
2012-07-20 12:49:50,683,13,13,20,16,13
2012-07-20 13:01:13,63,13,13,20,13,33
2012-07-20 13:02:16,131,13,32,20,13,32
2012-07-20 13:04:27,15,13,32,20,32,15
2012-07-20 13:04:42,355,13,19,20,32,14
2012-07-20 13:10:37,833,13,38,20,19,33
2012-07-20 13:24:30,876,13,10,20,38,25
2012-07-20 13:39:06,1200,13,16,20,10,17
2012-07-20 13:59:06,918,14,16,20,16,27
2012-07-20 14:14:24,906,14,33,20,16,16
2012-07-20 14:29:30,672,14,17,20,33,17
2012-07-20 14:40:42,20,14,9,20,17,36
2012-07-20 14:41:02,120,14,35,20,9,36
2012-07-20 14:43:02,57,14,35,20,35,9
2012-07-20 14:43:59,40,14,32,20,35,13
2012-07-20 14:44:39,246,14,13,20,32,13
2012-07-20 14:48:45,572,14,13,20,13,18
2012-07-20 14:58:17,106,15,13,20,13,5
2012-07-20 15:00:03,43,15,28,20,13,24
2012-07-20 15:00:46,36,15,26,20,28,29
2012-07-20 15:01:22,32,15,39,20,26,26
2012-07-20 15:01:54,55,15,5,20,39,18
2012-07-20 15:02:49,40,15,13,20,5,13
2012-07-20 15:03:29,80,15,13,20,13,12
2012-07-20 15:04:49,1032,15,13,20,13,13
2012-07-20 15:22:01,1084,15,13,20,13,14
2012-07-20 15:40:05,863,15,22,20,13,21
2012-07-20 15:54:28,559,16,22,20,22,10
2012-07-20 16:03:47,918,16,22,20,22,22
2012-07-20 16:19:05,820,16,16,20,22,20
2012-07-20 16:32:45,788,16,25,20,16,12
2012-07-20 16:45:53,835,16,13,20,25,16
2012-07-20 16:59:48,863,17,14,20,13,8
2012-07-20 17:14:11,66,17,32,20,14,9
2012-07-20 17:15:17,15,17,7,20,32,7
2012-07-20 17:15:32,74,17,37,20,7,37
2012-07-20 17:16:46,26,17,15,20,37,35
2012-07-20 17:17:12,87,17,35,20,15,35
